Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
FXDEETF,IE00BD3QJN10,RUB,118,1,29.95,3534.10,0,118,1,30.02,3542.36,0,0,8.26,0,0,118,2024-05-31
FXDMETF,IE00BMDKNM37,RUB,89,1,80.07,7126.23,0,89,1,79.92,7112.88,0,0,-13.35,0,0,89,2024-05-31
FXGDETF,IE00B8XB7377,RUB,2,1,901,1802.00,0,2,1,932.6,1865.20,0,0,63.20,0,0,2,2024-05-31
FXIMETF,IE00BNC2D728,RUB,30,1,104.64,3139.20,0,37,1,97.59,3610.83,0,7,471.63,0,0,37,2024-05-31
FXRLETF,IE00BQ1Y6480,RUB,170,1,41.625,7076.25,0,187,1,39.42,7371.54,0,17,295.29,0,0,187,2024-05-31
FXRUETF,IE00BD5FH213,RUB,3,1,948.2,2844.60,0,3,1,933.1,2799.30,0,0,-45.30,0,0,3,2024-05-31
FXRWETF,IE00BK224M36,RUB,1035,1,1.3566,1404.08,0,1100,1,1.279,1406.90,0,65,2.82,0,0,1100,2024-05-31
FXUSETF,IE00BD3QHZ91,RUB,300,1,65.21,19563.00,0,345,1,62.36,21514.20,0,45,1951.20,0,0,345,2024-05-31
SBSPETF,RU000A1006W1,RUB,4,1,1901,7604.00,0,4,1,1827,7308.00,0,0,-296.00,0,0,4,2024-05-31
VTBEETF,RU000A100HQ5,RUB,78,1,90.69,7073.82,0,78,1,92.97,7251.66,0,0,177.84,0,0,78,2024-05-31
БПИФбрутто,RU000A0ZZH92,RUB,370,1,19.281,7133.97,0,410,1,18.19,7457.90,0,40,323.93,0,0,410,2024-05-31
