Наименование,ISIN,Валюта,Количество_нп,Номинал_нп,Цена_нп,Стоимость_нп,НКД_нп,Количество_кп,Номинал_кп,Цена_кп,Стоимость_кп,НКД_кп,Количество_изп,Стоимость_изп,Зачисления,Списания,Остаток,Дата
25084,RU000A101FA1,RUB,30,1000,98.852,29655.60,514.2,30,1000,98.67,29601.00,636,0,-54.60,0,0,30,2023-02-28
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-02-28
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-02-28
БПИФбрутто,RU000A0ZZH92,RUB,470,1,12.186,5727.42,0,470,1,12.356,5807.32,0,0,79.90,0,0,470,2023-02-28
25084,RU000A101FA1,RUB,30,1000,98.67,29601.00,636,33,1000,98.834,32615.22,848.1,3,3014.22,0,0,33,2023-03-31
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-03-31
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-03-31
БПИФбрутто,RU000A0ZZH92,RUB,470,1,12.356,5807.32,0,680,1,13.41,9118.80,0,210,3311.48,0,0,680,2023-03-31
МТС-ао,RU0007775219,RUB,0,0.1,257.25,0.00,0,10,0.1,256.75,2567.50,0,10,2567.50,0,0,10,2023-03-31
Сбербанк,RU0009029540,RUB,0,3,170.01,0.00,0,10,3,214.09,2140.90,0,10,2140.90,0,0,10,2023-03-31
25084,RU000A101FA1,RUB,33,1000,98.834,32615.22,848.1,35,1000,99.303,34756.05,116.9,2,2140.83,0,0,35,2023-04-30
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-04-30
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-04-30
БПИФбрутто,RU000A0ZZH92,RUB,680,1,13.41,9118.80,0,750,1,14.361,10770.75,0,70,1651.95,80,0,830,2023-04-30
ГАЗПРОМао,RU0007661625,RUB,0,5,169.91,0.00,0,10,5,182.39,1823.90,0,10,1823.90,10,0,20,2023-04-30
МТС-ао,RU0007775219,RUB,10,0.1,256.75,2567.50,0,10,0.1,272.1,2721.00,0,0,153.50,0,0,10,2023-04-30
Сбербанк,RU0009029540,RUB,10,3,214.09,2140.90,0,10,3,239.83,2398.30,0,0,257.40,10,0,20,2023-04-30
25084,RU000A101FA1,RUB,35,1000,99.303,34756.05,116.9,35,1000,99.261,34741.35,284.55,0,-14.70,0,0,35,2023-05-31
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-05-31
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-05-31
БПИФбрутто,RU000A0ZZH92,RUB,750,1,14.361,10770.75,0,830,1,15.041,12484.03,0,80,1713.28,0,0,830,2023-05-31
ГАЗПРОМао,RU0007661625,RUB,10,5,182.39,1823.90,0,30,5,162.33,4869.90,0,20,3046.00,0,0,30,2023-05-31
ЛУКОЙЛ,RU0009024277,RUB,0,0.025,4674.5,0.00,0,1,0.025,5553.5,5553.50,0,1,5553.50,0,0,1,2023-05-31
Магнитао,RU000A0JKQU8,RUB,0,0.01,4729,0.00,0,0,0.01,4164,0.00,0,0,0.00,1,0,1,2023-05-31
МТС-ао,RU0007775219,RUB,10,0.1,272.1,2721.00,0,10,0.1,315.7,3157.00,0,0,436.00,0,0,10,2023-05-31
Сбербанк,RU0009029540,RUB,10,3,239.83,2398.30,0,20,3,243.94,4878.80,0,10,2480.50,0,0,20,2023-05-31
25084,RU000A101FA1,RUB,35,1000,99.392,34787.20,360.85,35,1000,99.407,34792.45,366.1,0,5.25,0,0,35,2023-06-16
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2023-06-16
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2023-06-16
YandexclA,NL0009805522,RUB,0,0.01,2596.4,0.00,0,1,0.01,2544,2544.00,0,1,2544.00,0,0,1,2023-06-16
БПИФбрутто,RU000A0ZZH92,RUB,830,1,15.796,13110.68,0,830,1,15.836,13143.88,0,0,33.20,0,0,830,2023-06-16
ГАЗПРОМао,RU0007661625,RUB,30,5,169.69,5090.70,0,30,5,170.35,5110.50,0,0,19.80,0,0,30,2023-06-16
ЛУКОЙЛ,RU0009024277,RUB,1,0.025,5277.5,5277.50,0,1,0.025,5278.5,5278.50,0,0,1.00,0,0,1,2023-06-16
Магнитао,RU000A0JKQU8,RUB,1,0.01,4469,4469.00,0,1,0.01,4502,4502.00,0,0,33.00,0,0,1,2023-06-16
МТС-ао,RU0007775219,RUB,10,0.1,333.85,3338.50,0,10,0.1,339.2,3392.00,0,0,53.50,0,0,10,2023-06-16
Сбербанк,RU0009029540,RUB,20,3,244.78,4895.60,0,30,3,244.52,7335.60,0,10,2440.00,0,0,30,2023-06-16
25084,RU000A101FA1,RUB,30,1000,98.63,29589.00,370.2,30,1000,98.71,29613.00,374.7,0,24.00,0,0,30,2022-12-30
RSHEETF,RU000A100HQ5,RUB,81,1,94.21,7631.01,0,81,1,94.21,7631.01,0,0,0.00,0,0,81,2022-12-30
SBSPETF,RU000A1006W1,RUB,5,1,1719,8595.00,0,5,1,1719,8595.00,0,0,0.00,0,0,5,2022-12-30
БПИФбрутто,RU000A0ZZH92,RUB,470,1,11.769,5531.43,0,470,1,11.744,5519.68,0,0,-11.75,0,0,470,2022-12-30
