Дата заключения,Дата расчетов,Время,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
30.12.2021,04.01.2022,16:22:03,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829207953,,И
30.12.2021,04.01.2022,16:24:34,FXGDETF,FXGD,RUB,Покупка,1,906.4,906.40,0.00,0.55,0.09,4829216361,,И
30.12.2021,04.01.2022,16:25:48,FXGDETF,FXGD,RUB,Продажа,1,906.4,906.40,0.00,0.54,0.09,4829221233,,И
30.12.2021,04.01.2022,16:27:05,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829225682,,И
30.12.2021,04.01.2022,16:30:25,FXGDETF,FXGD,RUB,Покупка,2,906.8,1813.60,0.00,1.09,0.17,4829239337,,И
24.01.2022,26.01.2022,13:01:27,FXIMETF,FXIM,RUB,Покупка,7,96.22,673.54,0.00,0.40,0.07,4903474866,,И
24.01.2022,26.01.2022,13:01:49,FXUSETF,FXUS,RUB,Покупка,45,62.46,2810.70,0.00,1.69,0.26,4903477636,,И
24.01.2022,26.01.2022,13:01:59,FXRLETF,FXRL,RUB,Покупка,17,36.33,617.61,0.00,0.37,0.05,4903478687,,И
24.01.2022,26.01.2022,13:02:52,БПИФбрутто,SBMX,RUB,Покупка,40,16.816,672.64,0.00,0.00,0.07,4903487089,,И
24.01.2022,26.01.2022,13:03:59,FXRWETF,FXRW,RUB,Покупка,65,1.2852,83.54,0.00,0.05,0.02,4903495099,,И
17.02.2022,21.02.2022,11:52:04,FXRUETF,FXRU,RUB,Покупка,13,92.7,1205.10,0.00,0.72,0.11,5002244893,,И
17.02.2022,21.02.2022,11:53:18,FXGDETF,FXGD,RUB,Покупка,2,96.85,193.70,0.00,0.12,0.02,5002270641,,И
17.02.2022,21.02.2022,11:53:24,FXIMETF,FXIM,RUB,Покупка,2,94.94,189.88,0.00,0.11,0.02,5002272511,,И
17.02.2022,21.02.2022,11:53:33,FXUSETF,FXUS,RUB,Покупка,5,61.75,308.75,0.00,0.19,0.03,5002275241,,И
17.02.2022,21.02.2022,11:54:12,FXDEETF,FXDE,RUB,Покупка,6,29.87,179.22,0.00,0.11,0.02,5002287624,,И
17.02.2022,21.02.2022,11:54:30,VTBEETF,VTBE,RUB,Покупка,3,94.83,284.49,0.00,0.17,0.03,5002294597,,И
